  The type of the variability: RR          
TZ    Scl |000049.2-284901. |RR        | 14.6    |  15.6      |p |
V1299 Oph |170404.2-163856. |RR        | 16.8    |  17.7      |p |
V1307 Oph |170435.3-211016. |RR        | 16.2    |  16.8      |p |
V1319 Oph |170453.5-193538. |RR        | 15.5    |  16.5      |p |
V0456 Ara |170504.0-591515. |RR        | 15.0    |  15.4      |p |
V0346 Oph |170514.9-285218. |RR        | 14.7    |  15.4      |p |
KN    Sco |170538.2-301607. |RR        | 13.7    |  14.9      |p |
V0349 Oph |170542.0-294010. |RR        | 14.5    |  15.1      |p |
V0460 Ara |170559.4-612413. |RR        | 15.6    |< 16.0      |p |
FP    Sco |170646.6-320139. |RR        | 15.0    |< 16.0      |p |
EM    Dra |170658.7+552732. |RR(B)     | 16.0    |  16.8      |B |
V1429 Oph |170715.2+051508. |RR        | 14.     |  15.       |p |
V1439 Oph |170828.7-185001. |RR        | 15.7    |  16.4      |p |
V0751 Her |170852.6+422852. |RR        | 17.0    |  18.8      |B |
V0730 Ara |170908.5-572910. |RR        | 15.3    |  16.0      |p |
IT    Oph |170926.4-280652. |RR        | 13.8    |  15.0      |p |
V0487 Ara |170957.4-565829. |RR        | 13.8    |  15.5      |p |
V0481 Ara |170958.3-633125. |RR        | 15.1    |  16.0      |p |
V0558 Dra |171002.9+522339. |RR(B)     | 16.63   |  17.26     |CV|
V0461 Her |171049.2+125251. |RR        | 13.     |  14.5      |p |
V1547 Oph |171134.3-212711. |RR        | 16.3    |  17.2      |p |
V1600 Oph |171141.4+073211. |RR        | 15.     |  16.       |p |
V1583 Oph |171221.2-192400. |RR        | 17.0    |  17.6      |p |
V1605 Oph |171253.8-215103. |RR        | 17.7    |  18.3      |p |
V0363 Dra |171320.0+690755. |RR(B)     | 12.75   |  13.30     |* |
V1637 Oph |171335.1-180550. |RR        | 14.3    |  15.4      |p |
KN    Oph |171406.9-295632. |RR        | 15.0    |< 16.0      |p |
V1061 Oph |171429.9+104307. |RR        | 14.5    |  15.5      |p |
V2171 Oph |171447.6-292633. |RR        | 17.0    |  18.1      |B |
NSV 21193 |171456.3-293036. |RR        | 16.6    |  17.8      |B |
V2179 Oph |171506.6-290326. |RR        | 18.3    |  19.9      |B |
V1703 Oph |171518.1-164911. |RR        | 16.5    |  17.6      |p |
V0560 Dra |171522.5+553328. |RR(B)     | 17.9    |  18.8      |CV|
V1710 Oph |171538.6-195912. |RR        | 17.1    |  18.3      |p |
V0797 Her |171608.4+481752. |RR        | 14.5    |  15.4      |p |
V2197 Oph |171614.4-292546. |RR        | 17.5    |  19.3      |B |
V1726 Oph |171618.3-221758. |RR        | 17.6    |  18.5      |p |
V2199 Oph |171622.7-291148. |RR        | 18.0    |  19.8      |B |
V0739 Oph |171635.2+042811. |RR        | 14.3    |  15.5      |p |
NSV 08449 |171645.9+070330. |RR        | 13.9    |  14.7      |p |
V1783 Oph |171728.3-194334. |RR        | 15.8    |  16.3      |p |
DY    Dra |171755.9+574000. |RR        | 17.4    |  18.5      |B |
V1803 Oph |171758.7-180117. |RR        | 16.4    |  17.1      |p |
V0864 Oph |171837.7+081343. |RR        | 13.1    |  13.8      |p |
DK    Aps |171837.9-814317. |RR        | 14.8    |  15.6      |p |
MU    Ara |171843.2-603428. |RR        | 16.6    |  17.7      |p |
V1831 Oph |171845.4-180530. |RR        | 16.1    |  17.3      |p |
NSV 08500 |171845.5+084032. |RR        | 13.9    |  14.5      |p |
V1836 Oph |171853.7-195934. |RR        | 17.4    |  18.4      |p |
V0743 Oph |171857.8+060008. |RR        | 13.8    |  15.4      |p |
V0865 Oph |171900.1+093027. |RR        | 12.5    |  13.1      |p |
V1855 Oph |171912.6-172334. |RR        | 15.6    |  16.6      |p |
V1492 Her |171914.3+440650. |RR(B)     | 17.02   |  17.61     |CV|
V0561 Dra |171926.6+534943. |RR(B)     | 17.02   |  17.68     |CV|
V0742 Ara |171948.4-604930. |RR        | 16.0    |  16.9      |p |
V1886 Oph |172014.4-220828. |RR        | 17.9    |  19.0      |p |
V0749 Oph |172109.3+024037. |RR        | 14.2    |  15.6      |p |
V0521 Ara |172110.1-595433. |RR        | 15.7    |  16.4      |p |
V0751 Oph |172135.2+030853. |RR        | 14.0    |  15.0      |p |
V0753 Oph |172148.0+072525. |RR        | 14.3    |  15.3      |p |
NSV 08532 |172158.6-595515. |RR        | 15.8    |  16.7      |p |
V0755 Oph |172211.4+051438. |RR        | 15.1    |  16.3      |p |
V0747 Ara |172234.1-575729. |RR        | 15.8    |  16.3      |p |
MY    Ara |172240.0-581815. |RR        | 15.2    |  16.2      |p |
V2008 Oph |172311.4-163319. |RR        | 16.0    |  16.8      |p |
NSV 08557 |172312.5-565935. |RR        | 15.5    |  16.3      |p |
NSV 08562 |172332.8-575223. |RR        | 14.8    |  15.6      |p |
V0758 Oph |172349.7+033810. |RR        | 14.2    |  15.4      |p |
MZ    Ara |172357.8-583130. |RR        | 15.5    |  17.0      |p |
NSV 08567 |172401.9-601822. |RR        | 14.6    |  15.5      |p |
NSV 08572 |172418.7-585652. |RR        | 16.5    |  17.2      |p |
V0749 Ara |172420.5-610927. |RR        | 14.9    |  15.4      |p |
V0550 Her |172446.2+164227. |RR        | 15.5    |  16.5      |p |
NSV 08582 |172459.2-590648. |RR        | 16.2    |  17.0      |p |
NP    Ara |172516.5-570325. |RR        | 14.7    |  15.9      |p |
NSV 08589 |172535.4-570631. |RR        | 14.6 :  |  15.6   :  |p |
V0526 Ara |172540.9-620535. |RR        | 15.0    |  16.0      |p |
NSV 08599 |172553.2-573015. |RR        | 16.5    |  17.4      |p |
V0762 Oph |172625.3+094654. |RR        | 14.3    |  15.3      |p |
NSV 08701 |172709.2+044826. |RR        | 14.6    |  15.3      |p |
V0335 Ara |172736.0-561649. |RR        | 14.5    |  15.5      |p |
NR    Ara |172738.2-580153. |RR        | 15.5    |  16.6      |p |
V0404 Her |172741.5+265750. |RR        | 16.0    |  16.8      |p |
V0551 Her |172746.7+142510. |RR        | 15.     |  16.       |p |
V0763 Oph |172810.9+114840. |RR        | 14.3    |  15.8      |p |
NS    Ara |172820.9-592835. |RR        | 16.2    |  17.2      |p |
NSV 08666 |172832.8-592158. |RR        | 16.8    |  17.4      |p |
V0765 Oph |172912.8+061716. |RR        | 14.0    |  15.3      |p |
NT    Ara |172919.7-575436. |RR        | 14.5    |  15.5      |p |
NSV 08722 |172923.9-594014. |RR        | 16.7    |  17.3      |p |
NSV 08926 |172933.1+101914. |RR        | 14.6    |  15.3      |p |
NSV 08958 |172956.6+064213. |RR        | 15.1    |  15.8      |p |
V1062 Oph |172958.4+125224. |RR        | 15.5    |  16.5      |p |
NSV 08959 |172959.0+043112. |RR        | 15.0    |  15.6      |p |
V1499 Her |173010.8+452205. |RR(B)     | 15.65   |  16.22     |CV|
V0552 Her |173011.8+142235. |RR        | 13.     |  14.       |p |
NSV 08802 |173015.6-601300. |RR        | 16.6    |  17.3      |p |
NU    Ara |173024.3-612706. |RR        | 16.3    |  17.5      |p |
NSV 09003 |173030.2+060641. |RR        | 14.9    |  15.6      |p |
V0411 Her |173049.3+191431. |RR        | 15.0    |  16.1      |p |
NSV 08984 |173100.7-295951. |RR        | 14.3    |  14.4      |I |
NV    Ara |173117.1-605046. |RR        | 14.4    |  15.9      |p |
V0751 Ara |173146.4-603854. |RR        | 16.0    |  16.9      |p |
V0771 Oph |173158.7+100833. |RR        | 13.5    |  14.7      |p |
NW    Ara |173159.3-570701. |RR        | 15.4    |  16.7      |p |
V0495 Her |173200.5+450139. |RR        | 15.0    |< 15.5      |p |
NSV 08968 |173203.5-593106. |RR        | 16.5    |  17.0      |p |
V0421 Her |173205.5+394532. |RR        | 14.     |  15.       |p |
V0752 Ara |173214.3-593805. |RR        | 16.5    |  17.1      |p |
NSV 08985 |173218.5-600229. |RR        | 17.3    |  18.1      |p |
NSV 09135 |173240.3+022737. |RR        | 14.8    |  15.6      |p |
NSV 09147 |173254.7+070815. |RR        | 14.6    |  15.4      |p |
NSV 09076 |173307.5-582811. |RR        | 14.8    |  15.5      |p |
NSV 09155 |173319.2+062922.*|RR        | 15.2    |  16.1      |p |
V0777 Oph |173324.9+025936. |RR        | 13.4    |  14.4      |p |
NX    Ara |173341.0-570412. |RR        | 15.5    |  16.5      |p |
V0778 Oph |173351.0+111551. |RR        | 14.3    |  15.3      |p |
V0781 Oph |173406.2+103653. |RR        | 14.2    |  15.3      |p |
NSV 09170 |173406.9+035349. |RR        | 15.0    |  15.6      |p |
V0780 Oph |173412.2+061347. |RR        | 14.3    |  15.4      |p |
V0812 Her |173424.6+454850. |RR        | 15.3    |  16.4      |p |
V1064 Oph |173432.7+094451. |RR        | 15.     |  16.       |p |
NSV 09144 |173448.4-575220. |RR        | 16.7    |  17.3      |p |
NY    Ara |173459.6-592333. |RR        | 14.5    |  16.6      |p |
NSV 09157 |173512.2-564522. |RR        | 13.3    |  13.8      |p |
NSV 09160 |173515.0-563617. |RR        | 15.1    |  15.7      |p |
NSV 09216 |173551.2+025834. |RR        | 15.1    |  15.7      |p |
V0554 Her |173552.4+160310. |RR        | 16.     |  17.       |p |
NSV 09173 |173558.8-564521. |RR        | 16.4    |  17.3      |p |
NSV 09181 |173627.9-584835. |RR        | 17.2    |  18.0      |p |
NSV 09179 |173628.4-594650. |RR        | 16.4    |  17.1      |p |
KY    Aps |173630.0-765338. |RR        | 15.3    |< 15.6      |p |
V0753 Ara |173644.1-580639. |RR        | 17.0    |  17.8      |p |
V0754 Ara |173644.5-575846. |RR        | 17.2    |  18.0      |p |
NSV 09254 |173649.7+052715. |RR        | 14.5    |  15.5      |p |
NSV 09191 |173708.7-594611. |RR        | 16.2    |  16.8      |p |
V2493 Oph |173725.8+112225. |RR(B)     | 13.2    |(  0.84    )|V |
V0793 Oph |173729.7+090837. |RR        | 14.1    |  15.3      |p |
OO    Ara |173748.8-570624. |RR        | 14.4    |  15.5      |p |
NSV 09223 |173750.0-565624. |RR        | 15.6    |  16.5      |p |
NZ    Ara |173750.0-593731. |RR        | 15.3    |  17.2      |p |
NSV 09232 |173755.4-565224. |RR        | 16.0    |  16.6      |p |
NSV 09227 |173800.4-585954. |RR        | 16.2    |  16.9      |p |
EN    Dra |173826.9+570649. |RR(B)     | 14.6    |  15.3      |B |
V0801 Oph |173829.4+113854. |RR        | 13.8    |  15.5      |p |
OP    Ara |173846.6-564934. |RR        | 14.1    |  15.5      |p |
V0540 Ara |173904.5-545138. |RR        | 15.     |  16.       |p |
V0756 Ara |173905.0-584625. |RR        | 16.7    |  17.5      |p |
NSV 09278 |173906.6-573038. |RR        | 15.7    |  16.3      |p |
V0555 Her |173929.1+154325. |RR        | 15.5    |  16.5      |p |
V0541 Ara |173936.6-540852. |RR        | 15.5    |  16.5      |p |
OQ    Ara |173943.5-563953. |RR        | 14.8    |  16.3      |p |
V0542 Ara |173943.8-525430. |RR        | 14.     |  15.       |p |
V0808 Oph |174006.2+080210. |RR        | 14.3    |  15.3      |p |
V0809 Oph |174018.9+044007. |RR        | 14.4    |  15.6      |p |
V0757 Ara |174029.4-602906. |RR        | 16.3    |  17.1      |p |
V2023 Oph |174034.3+114441. |RR        | 16.     |  17.       |p |
V1133 Ara |174041.1-534042. |RR(B):    | 16.06   |  16.24     |V |
V0759 Ara |174049.1-583952. |RR        | 16.1    |  16.8      |p |
V1285 Her |174107.3+484314. |RR(B)     | 12.83   |  13.5      |* |
V1066 Oph |174110.4+004052. |RR        | 16.5    |  17.5      |p |
V0436 Her |174126.2+190949. |RR        | 15.8    |  17.0      |p |
V0813 Oph |174134.8+114319. |RR        | 14.3    |  15.3      |p |
V0517 Her |174134.9+192456. |RR        | 16.1    |  17.1      |p |
V0543 Ara |174143.2-522044. |RR        | 16.     |  17.       |p |
NSV 09444 |174147.0-600058. |RR        | 17.1    |  17.7      |p |
NSV 09470 |174200.3-565419. |RR        | 14.2    |  14.8      |p |
V0827 Ara |174207.2-534752. |RR        | 16.25   |  17.02     |V |
NSV 09514 |174213.0-490223. |RR        | 16.5    |  17.       |p |
V0545 Ara |174229.7-485339. |RR        | 15.5    |  17.       |p |
NSV 09523 |174231.7-495542. |RR        | 15.     |  15.5      |p |
V0519 Her |174239.9+260510. |RR        | 15.7    |  16.4      |p |
V0546 Ara |174259.4-502748. |RR        | 15.     |  16.       |p |
BW    Pav |174313.9-590218. |RR        | 16.2    |  17.2      |p |
NSV 09533 |174318.1-535728. |RR        | 15.     |  15.5      |p |
OR    Ara |174324.5-564231. |RR        | 14.9    |  16.1      |p |
NSV 09527 |174325.9-602359. |RR        | 16.6    |  17.2      |p |
NSV 09536 |174338.4-574231. |RR        | 15.8    |  16.7      |p |
BX    Pav |174400.4-593108. |RR        | 16.0    |  17.1      |p |
NSV 09560 |174405.4-500243. |RR        | 15.5    |  16.       |p |
V0547 Ara |174412.5-470614. |RR        | 15.5    |  16.5      |p |
V0625 Her |174423.6+154629. |RR        | 15.5    |  16.5      |p |
V0820 Oph |174435.0+063517. |RR        | 14.0    |  15.2      |p |
V2025 Oph |174437.4+110903. |RR        | 16.     |  17.       |p |
V0550 Ara |174443.4-471850. |RR        | 15.     |  16.       |p |
V2026 Oph |174447.5+130625. |RR        | 15.     |  16.       |p |
V0549 Ara |174451.5-500740. |RR        | 15.5    |  16.5      |p |
V0556 Her |174453.5+144057. |RR        | 14.5    |  15.5      |p |
V2202 Oph |174503.6+054821. |RR        | 15.0    |  16.0      |p |
NSV 09590 |174513.1-565757. |RR        | 16.0    |  16.8      |p |
V0821 Oph |174518.7+095507. |RR        | 14.1    |  15.2      |p |
V0551 Ara |174521.7-500415. |RR        | 14.5    |  15.5      |p |
CL    Pav |174530.8-594151. |RR        | 15.6    |  17.0      |p |
V0869 Oph |174543.8+111957. |RR        | 13.3    |  14.0      |p |
V0557 Her |174549.0+150718. |RR        | 13.5    |  14.5      |p |
V0552 Ara |174551.8-533730. |RR        | 15.     |  16.       |p |
NSV 09614 |174603.6-561608. |RR        | 16.3    |  16.9      |p |
OS    Ara |174614.3-563408. |RR        | 15.4    |  16.6      |p |
V1073 Oph |174624.3+135325. |RR        | 15.5    |  16.5      |p |
V0553 Ara |174627.2-495008. |RR        | 14.5    |  16.       |p |
V0554 Ara |174634.5-501141. |RR        | 16.     |  17.       |p |
NSV 09187 |174648.3-593734. |RR        | 16.8    |  17.6      |p |
NSV 09636 |174655.4-515508. |RR        | 16.     |  16.5      |p |
NSV 09632 |174656.0-593745. |RR        | 16.9    |  17.5      |p |
V0823 Oph |174700.5+061154. |RR        | 14.5    |  15.6      |p |
V0555 Ara |174710.0-463034. |RR        | 15.5    |  16.5      |p |
DE    Pav |174714.7-585055. |RR        | 14.0    |  15.0      |p |
NSV 09649 |174716.5-514129. |RR        | 15.5    |  16.       |p |
V0824 Oph |174717.6+075206. |RR        | 14.2    |  15.3      |p |
NSV 09651 |174719.6-512851. |RR        | 15.     |  15.5      |p |
V0556 Ara |174728.2-501953. |RR        | 15.5    |  16.5      |p |
NSV 09643 |174729.7-580017. |RR        | 16.6    |  17.4      |p |
V0557 Ara |174734.4-491221. |RR        | 14.5    |  15.5      |p |
NSV 09648 |174735.3-575125. |RR        | 16.6    |  17.2      |p |
OQ    Pav |174737.0-603310. |RR        | 16.8    |  17.4      |p |
NSV 09659 |174803.7-601648. |RR        | 16.6    |  17.2      |p |
NSV 09711 |174805.0+141254. |RR        | 14.5    |  15.       |p |
V0558 Ara |174810.3-501123. |RR        | 16.     |  17.       |p |
V0560 Ara |174816.3-475919. |RR        | 15.5    |  16.5      |p |
V2028 Oph |174824.3+110807. |RR        | 16.     |  17.5      |p |
V0825 Oph |174830.2+060328. |RR        | 13.4    |  14.6      |p |
V0558 Her |174836.6+143657. |RR        | 14.5    |  16.       |p |
OT    Ara |174837.2-563708. |RR        | 16.0    |  17.0      |p |
V0559 Ara |174837.8-512326. |RR        | 15.     |  16.       |p |
V0826 Oph |174843.7+095555. |RR        | 14.5    |  15.8      |p |
OR    Pav |174855.1-610545. |RR        | 16.1    |  17.0      |p |
MO    Ara |174857.0-463651. |RR        | 14.6    |  15.4      |p |
NSV 09720 |174901.4+064408. |RR        | 14.3    |  14.9      |p |
V0563 Ara |174915.5-522522. |RR        | 14.5    |  16.       |p |
NSV 09691 |174916.8-575425. |RR        | 16.5    |  17.0      |p |
NSV 09695 |174917.1-512036. |RR        | 15.     |  15.5      |p |
V0566 Ara |174920.8-465014. |RR        | 16.     |  17.       |p |
BY    Pav |174922.1-584217. |RR        | 16.9    |  18.0      |p |
V0627 Ara |174934.1-565812. |RR        | 16.2    |  16.7      |p |
V0564 Ara |174955.8-545151. |RR        | 14.5    |  16.       |p |
V0565 Ara |174959.1-534223. |RR        | 14.5    |  16.       |p |
V1074 Oph |175002.5+123535. |RR        | 15.     |  16.5      |p |
BZ    Pav |175005.6-600523. |RR        | 15.2    |  16.2      |p |
UU    Pav |175017.0-600101. |RR        | 13.2    |  14.1      |p |
V0560 Her |175017.7+255810. |RR        | 15.     |  16.       |p |
NSV 09713 |175022.3-571227. |RR        | 15.4    |  16.2      |p |
V0567 Ara |175035.1-534854. |RR        | 15.     |  16.       |p |
OS    Pav |175044.2-594845. |RR        | 16.6    |  17.5      |p |
NSV 09719 |175052.4-582855. |RR        | 15.4    |< 16.5      |p |
NSV 09728 |175102.1-564358. |RR        | 14.8    |  15.3      |p |
V0568 Ara |175124.7-460511. |RR        | 15.5    |  17.       |p |
V0561 Her |175130.1+282213. |RR        | 16.     |  17.5      |p |
V0569 Ara |175130.9-463214. |RR        | 15.     |  16.       |p |
V1507 Her |175138.6+390300. |RR(B)     | 17.81   |  18.75     |CV|
UX    Pav |175145.3-615259. |RR        | 13.5    |  14.4      |p |
NSV 09747 |175151.2-574819. |RR        | 15.4    |  16.0      |p |
NSV 09749 |175153.9-564429. |RR        | 15.4    |  16.0      |p |
OT    Pav |175205.5-595038. |RR        | 15.8    |  16.6      |p |
OV    Pav |175205.6-591644. |RR        | 16.2    |  17.1      |p |
NSV 09756 |175211.1-570008. |RR        | 16.4    |  17.2      |p |
OU    Pav |175214.3-604254. |RR        | 16.6    |  17.4      |p |
V0767 Sgr |175228.4-264213. |RR        | 12.9    |  13.4      |p |
NSV 09771 |175231.8-462536. |RR        | 15.     |  15.5      |p |
V0660 Sco |175233.9-392119. |RR        | 15.5    |< 16.5      |p |
V0828 Sco |175251.4-451407. |RR        | 15.     |  16.       |p |
OV    Ara |175258.0-563955. |RR        | 14.2    |  15.3      |p |
V0571 Ara |175304.8-523126. |RR        | 16.     |  17.       |p |
NSV 09784 |175308.7-464822. |RR        | 15.5    |  16.       |p |
V0570 Ara |175312.5-550933. |RR        | 14.5    |  16.       |p |
V0572 Ara |175315.8-500735. |RR        | 15.     |  16.       |p |
V0573 Ara |175323.2-502253. |RR        | 15.     |  16.       |p |
NSV 09773 |175323.4-575320. |RR        | 15.6    |  16.3      |p |
NSV 09776 |175327.1-574138. |RR        | 14.7    |  15.2      |p |
CC    Pav |175332.8-571000. |RR        | 15.8    |  17.0      |p |
V0574 Ara |175343.6-491546. |RR        | 14.5    |  15.5      |p |
NSV 09786 |175351.3-572056. |RR        | 15.6    |  16.3      |p |
V0575 Ara |175353.0-491020. |RR        | 15.     |  16.       |p |
NSV 09790 |175358.3-575435. |RR        | 15.7    |  16.6      |p |
V0577 Ara |175359.2-474248. |RR        | 16.5    |  17.5      |p |
V1079 Oph |175403.5+031959. |RR        | 16.     |  17.5      |p |
OZ    Ara |175411.9-553900. |RR        | 14.8    |  16.2      |p |
V0580 Ara |175414.5-465811. |RR        | 15.     |  16.5      |p |
NSV 09811 |175415.2-461849. |RR        | 15.5    |  16.       |p |
V0578 Ara |175420.9-500138. |RR        | 16.     |  17.       |p |
V0576 Ara |175427.6-530245. |RR        | 14.5    |  15.5      |p |
V0582 Ara |175433.4-464241. |RR        | 15.     |  16.       |p |
NSV 09803 |175433.8-592525. |RR        | 16.6    |  17.5      |p |
V0579 Ara |175433.9-512238. |RR        | 15.     |  16.       |p |
V2029 Oph |175437.5+061351. |RR        | 15.5    |  16.5      |p |
V0626 Her |175437.6+144840. |RR        | 14.5    |  15.5      |p |
NSV 09807 |175442.0-575048. |RR        | 16.5    |  17.4      |p |
V0581 Ara |175442.0-511558. |RR        | 15.     |  16.       |p |
V0834 Sco |175443.6-453049. |RR        | 15.5    |  16.5      |p |
V2030 Oph |175452.2+022828. |RR        | 16.     |  17.       |p |
V0583 Ara |175459.0-460205. |RR        | 16.     |  17.       |p |
CD    Pav |175502.7-585222. |RR        | 16.0    |  17.2      |p |
V0871 Sco |175503.0-383246. |RR        | 14.5    |  15.3      |p |
NSV 09815 |175508.4-581304. |RR        | 17.0    |  17.6      |p |
NSV 09826 |175510.1-480058. |RR        | 15.5    |  16.       |p |
NSV 09823 |175527.8-573732. |RR        | 16.8    |  17.3      |p |
CE    Pav |175531.7-610436. |RR        | 16.1    |  17.4      |p |
NSV 09829 |175532.4-494551. |RR        | 15.5    |  16.       |p |
V0584 Ara |175539.8-524715. |RR        | 15.     |  16.       |p |
V0839 Sco |175552.4-445606. |RR        | 15.     |  16.       |p |
WX    Pav |175555.2-591708. |RR        | 15.0    |  15.6      |p |
V0586 Ara |175600.0-463009. |RR        | 14.5    |  15.5      |p |
PP    Ara |175600.5-532908. |RR        | 13.5    |  15.1      |p |
NSV 09835 |175605.9-582201. |RR        | 16.5    |  17.1      |p |
HT    Ara |175608.2-552816. |RR        | 13.9    |  15.0  :   |p |
NSV 09844 |175640.1-584553. |RR        | 16.0    |  16.6      |p |
NSV 09852 |175640.9-533836. |RR        | 15.5    |  16.       |p |
WZ    Pav |175648.5-595353. |RR        | 13.1    |  13.9      |p |
V0587 Ara |175650.4-484619. |RR        | 15.5    |  17.       |p |
PR    Ara |175705.1-541306. |RR        | 13.5    |  15.4      |p |
NSV 09855 |175715.8-603131. |RR        | 15.9    |  16.6      |p |
PS    Ara |175723.8-531009. |RR        | 14.0    |  15.5      |p |
V0588 Ara |175732.2-471822. |RR        | 14.5    |  15.5      |p |
V0590 Ara |175742.8-453323. |RR        | 15.     |  16.       |p |
V0847 Sco |175746.2-444159. |RR        | 15.     |  16.5      |p |
V0525 Her |175747.0+315315. |RR        | 15.5    |  16.5      |p |
NSV 09879 |175749.3-494601. |RR        | 15.     |  15.5      |p |
NSV 09867 |175800.9-600802. |RR        | 16.4    |  16.9      |p |
PT    Ara |175807.1-515635. |RR        | 14.8    |  15.9      |p |
V0447 Sco |175822.4-370359. |RR        | 15.5    |  16.7      |p |
HW    Ara |175824.5-564954. |RR        | 14.6    |  15.7      |p |
V1081 Oph |175827.7+021153. |RR        | 16.     |  17.       |p |
DT    CrA |175839.3-380534. |RR        | 15.4    |  16.8  :   |p |
V0589 Ara |175839.5-550521. |RR        | 15.5    |  16.5      |p |
NSV 09886 |175848.8-603701. |RR        | 16.0    |  16.7      |p |
V2430 Sgr |175850.5-290912. |RR        | 17.1    |  18.4      |p |
V0591 Ara |175859.7-473840. |RR        | 14.5    |  15.5      |p |
PU    Ara |175906.5-552512. |RR        | 15.0    |  16.2      |p |
OY    Pav |175918.1-593721. |RR        | 15.8    |  16.6      |p |
V0672 CrA |175921.3-404027. |RR        | 14.8    |  15.6      |p |
KP    CrA |175923.8-400511. |RR        | 14.9    |  16.1      |p |
V0453 CrA |175932.0-451427. |RR        | 14.     |  15.       |p |
V2453 Sgr |175932.4-285505. |RR        | 18.2    |  19.4      |p |
V2458 Sgr |175937.6-285714. |RR        | 18.1    |  18.6      |p |
V0457 CrA |175944.1-420349. |RR        | 13.6    |  14.1      |p |
AV    Dra |175944.2+515302. |RR        | 12.3    |< 12.9      |p |
V2469 Sgr |175953.4-285637. |RR        | 16.9    |  18.1      |p |
KV    CrA |180018.4-383013. |RR        | 15.6    |< 16.5      |p |
V1083 Oph |180019.9+030618. |RR        | 16.     |  17.5      |p |
V2485 Sgr |180023.4-284940. |RR        | 17.6    |  18.9      |p |
EH    CrA |180025.1-374006. |RR        | 15.4    |  16.8      |p |
PV    Ara |180028.5-531620. |RR        | 14.5    |  15.5      |p |
V2492 Sgr |180037.4-291053. |RR        | 17.3    |  18.6      |p |
PW    Ara |180040.6-542133. |RR        | 14.3    |  15.5      |p |
CF    Pav |180042.5-575408. |RR        | 15.5    |  16.6      |p |
HZ    Ara |180043.6-551617. |RR        | 14.6    |  15.6      |p |
V1084 Oph |180045.3+041333. |RR        | 16.     |  17.5      |p |
CG    Pav |180053.9-574724. |RR        | 15.3    |  16.6      |p |
KY    CrA |180100.0-401820. |RR        | 15.4    |  16.5      |p |
V1085 Oph |180102.2+034725. |RR        | 15.5    |  17.       |p |
V0592 Ara |180110.6-485549. |RR        | 15.     |  16.       |p |
EP    Ser |180124.5-000050. |RR        | 16.     |  17.       |p |
V0466 CrA |180137.0-444657. |RR        | 15.     |  16.       |p |
NSV 09975 |180142.0-383447. |RR        | 15.8    |< 16.5      |p |
PX    Ara |180200.8-503735. |RR        | 14.8    |  16.2      |p |
V0562 Sgr |180202.3-361508. |RR        | 15.5    |  16.5      |p |
V0594 Ara |180202.6-484430. |RR        | 16.     |  17.       |p |
EN    CrA |180202.7-380914. |RR        | 15.2    |  15.9      |p |
LQ    CrA |180207.4-385717. |RR        | 14.2    |  15.0      |p |
PY    Ara |180212.5-525337. |RR        | 14.3    |  15.3      |p |
LR    CrA |180214.9-391059. |RR        | 15.2    |  16.2      |p |
V0595 Ara |180221.6-471258. |RR        | 15.     |  16.       |p |
CH    Pav |180237.3-600457. |RR        | 15.4    |  16.6      |p |
CI    Pav |180239.0-602018. |RR        | 14.8    |  16.2      |p |
PZ    Ara |180245.0-553418. |RR        | 14.1    |  15.8      |p |
NSV 09989 |180246.7-532717. |RR        | 14.8    |  15.5      |p |
LV    CrA |180252.0-401218. |RR        | 14.9    |  16.3      |p |
NSV 09987 |180254.3-553814. |RR        | 15.3    |  16.0      |p |
V0596 Ara |180303.2-500750. |RR        | 16.     |  17.       |p |
EV    CrA |180306.5-381209. |RR        | 15.2    |  16.4      |p |
LY    CrA |180309.4-382530. |RR        | 15.5    |  16.6      |p |
V0597 Ara |180309.5-472002. |RR        | 15.     |  16.       |p |
LZ    CrA |180309.7-382630. |RR        | 15.5    |  16.7      |p |
OX    Ara |180312.7-565910. |RR        | 16.0    |  17.2      |p |
NSV 10021 |180315.7-472704. |RR        | 15.5    |  16.       |p |
NSV 10023 |180317.9-472630. |RR        | 15.     |  15.5      |p |
MP    CrA |180318.2-384246. |RR        | 15.0    |  16.3      |p |
MO    CrA |180324.0-405301. |RR        | 15.2    |  16.4      |p |
QQ    Ara |180325.9-555844. |RR        | 13.3    |  15.1      |p |
V0765 Ara |180334.6-471443. |RR        | 15.     |  16.       |p |
MR    CrA |180336.0-395334.:|RR        | 15.0    |  16.2      |p |
V1087 Oph |180336.3+030419. |RR        | 16.     |  17.       |p |
MX    CrA |180347.0-390233. |RR        | 15.5    |< 16.5      |p |
QS    Ara |180353.0-544300. |RR        | 14.7    |  15.8      |p |
FG    CrA |180355.2-374807. |RR        | 15.6    |  16.8      |p |
V0598 Ara |180358.7-474709. |RR        | 15.     |  16.       |p |
FI    CrA |180359.8-381513. |RR        | 14.9    |  16.2      |p |
NSV 10054 |180403.3-540956. |RR        | 13.9    |  14.6      |p |
NP    CrA |180404.9-392956. |RR        | 15.0    |  16.4      |p |
NN    CrA |180407.6-405053. |RR        | 15.4    |  16.4      |p |
NSV 10066 |180417.3-540345. |RR        | 14.6    |  15.2      |p |
NS    CrA |180424.8-382542. |RR        | 15.0    |  16.3      |p |
V1519 Sgr |180430.7-295156. |RR        | 17.9    |  18.3      |p |
NU    CrA |180433.3-382919. |RR        | 15.2    |  16.7      |p |
